Exercício: 2019;;;;;;;;
Período: 2o. quadrimestre;;;;;;;;
Escopo: Municípios do Estado - CE;;;;;;;;
Anexo 02 - Demonstrativo da Dívida Consolidada Líquida;;;;;;;;
Tabela: Dívida Consolidada Líquida;;;;;;;;
Período de Homologação/Retificação: 01/01/2018 à 05/07/2021;;;;;;;;
Instituição;Cod.IBGE;UF;PODER;População;Coluna;Conta;Valor;date
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12419;SALDO DO EXERCÍCIO ANTERIOR;DÍVIDA CONSOLIDADA - DC (I);20168165,12;20190801
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12419;SALDO DO EXERCÍCIO ANTERIOR;Dívida Contratual;20168165,12;20190801
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12419;SALDO DO EXERCÍCIO ANTERIOR;Parcelamento e Renegociação de Dívidas;20168165,12;20190801
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12419;SALDO DO EXERCÍCIO ANTERIOR;De Contribuições Previdenciárias;20092932,62;20190801
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12419;SALDO DO EXERCÍCIO ANTERIOR;De Demais Contribuições Sociais;75232,5;20190801
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12419;SALDO DO EXERCÍCIO ANTERIOR;DEDUÇÕES (II);599485,03;20190801
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12419;SALDO DO EXERCÍCIO ANTERIOR;Disponibilidade de Caixa;102457,3;20190801
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12419;SALDO DO EXERCÍCIO ANTERIOR;Disponibilidade de Caixa Bruta;4553866,55;20190801
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12419;SALDO DO EXERCÍCIO ANTERIOR;(-) Restos a Pagar Processados;4451409,25;20190801
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12419;SALDO DO EXERCÍCIO ANTERIOR;Demais Haveres Financeiros;497027,73;20190801
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12419;SALDO DO EXERCÍCIO ANTERIOR;DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II);19568680,09;20190801
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12419;SALDO DO EXERCÍCIO ANTERIOR;RECEITA CORRENTE LÍQUIDA - RCL;33572618,23;20190801
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12419;SALDO DO EXERCÍCIO ANTERIOR;% da DC sobre a RCL (I/RCL);60,07;20190801
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12419;SALDO DO EXERCÍCIO ANTERIOR;% da DCL sobre a RCL (III/RCL);58,29;20190801
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12419;SALDO DO EXERCÍCIO ANTERIOR;LIMITE DEFINIDO POR RESOLUÇÃO DO SENADO FEDERAL;40287141,88;20190801
