Exercício: 2018;;;;;;;;
Período: 1o. quadrimestre;;;;;;;;
Escopo: Municípios do Estado - CE;;;;;;;;
Anexo 01 - Demonstrativo da Despesas Com Pessoal;;;;;;;;
Tabela: DTP e Apuração do Cumprimento do Limite Legal;;;;;;;;
Período de Homologação/Retificação: 01/01/2018 à 06/07/2021;;;;;;;;
Instituição;Cod.IBGE;UF;PODER;População;Coluna;Conta;Valor;date
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12242;Valor;RECEITA CORRENTE LIQUIDA - RCL (IV);28914732,88;20180401
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12242;Valor;#NOME?;28914732,88;20180401
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12242;Valor;DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb);15182408,86;20180401
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12242;Valor;LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF);15613955,76;20180401
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12242;Valor;LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF);14833257,97;20180401
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12242;Valor;LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF);14052560,18;20180401
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12242;% sobre a RCL Ajustada;DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb);52,51;20180401
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12242;% sobre a RCL Ajustada;LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF);54;20180401
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12242;% sobre a RCL Ajustada;LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF);51,3;20180401
Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12242;% sobre a RCL Ajustada;LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF);48,6;20180401
Prefeitura Municipal de Salitre - CE;2311959;CE;Executivo;16248;Valor;RECEITA CORRENTE LIQUIDA - RCL (IV);40278534,29;20180401
Prefeitura Municipal de Salitre - CE;2311959;CE;Executivo;16248;Valor;#NOME?;40278534,29;20180401
Prefeitura Municipal de Salitre - CE;2311959;CE;Executivo;16248;Valor;DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb);20235534,99;20180401
Prefeitura Municipal de Salitre - CE;2311959;CE;Executivo;16248;Valor;LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF);21750408,52;20180401
Prefeitura Municipal de Salitre - CE;2311959;CE;Executivo;16248;Valor;LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF);20662888,09;20180401
Prefeitura Municipal de Salitre - CE;2311959;CE;Executivo;16248;Valor;LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF);19575367,67;20180401
Prefeitura Municipal de Salitre - CE;2311959;CE;Executivo;16248;% sobre a RCL Ajustada;DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb);50,24;20180401
Prefeitura Municipal de Salitre - CE;2311959;CE;Executivo;16248;% sobre a RCL Ajustada;LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF);54;20180401
Prefeitura Municipal de Salitre - CE;2311959;CE;Executivo;16248;% sobre a RCL Ajustada;LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF);51,3;20180401
Prefeitura Municipal de Salitre - CE;2311959;CE;Executivo;16248;% sobre a RCL Ajustada;LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF);48,6;20180401
Câmara de Vereadores de Bela Cruz - CE;2302305;CE;Legislativo;32243;Valor;RECEITA CORRENTE LIQUIDA - RCL (IV);50852394,92;20180401
Câmara de Vereadores de Bela Cruz - CE;2302305;CE;Legislativo;32243;Valor;#NOME?;50852394,92;20180401
Câmara de Vereadores de Bela Cruz - CE;2302305;CE;Legislativo;32243;Valor;DESPESA TOTAL COM PESSOAL - DTP (VII) = (III a + III b);1453062,43;20180401
Câmara de Vereadores de Bela Cruz - CE;2302305;CE;Legislativo;32243;Valor;LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF);3051143,7;20180401
Câmara de Vereadores de Bela Cruz - CE;2302305;CE;Legislativo;32243;Valor;LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF);2898586,52;20180401
Câmara de Vereadores de Bela Cruz - CE;2302305;CE;Legislativo;32243;Valor;LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF);2746029,33;20180401
Câmara de Vereadores de Bela Cruz - CE;2302305;CE;Legislativo;32243;% sobre a RCL Ajustada;DESPESA TOTAL COM PESSOAL - DTP (VII) = (III a + III b);2,86;20180401
Câmara de Vereadores de Bela Cruz - CE;2302305;CE;Legislativo;32243;% sobre a RCL Ajustada;LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF);6;20180401
