Exercício: 2019;;;;;;;;
Período: 3o. quadrimestre;;;;;;;;
Escopo: Estados/DF;;;;;;;;
Anexo 01 - Demonstrativo da Despesas Com Pessoal;;;;;;;;
Tabela: DTP e Apuração do Cumprimento do Limite Legal;;;;;;;;
Período de Homologação/Retificação: 01/01/2018 à 06/07/2021;;;;;;;;
Instituição;Cod.IBGE;UF;PODER;População;Coluna;Conta;Valor;date
Tribunal de Contas do Estado de Goiás;52;GO;Legislativo;6921161;Valor;RECEITA CORRENTE LIQUIDA - RCL (IV);24538621317;20191201
Tribunal de Contas do Estado de Goiás;52;GO;Legislativo;6921161;Valor;(-) Transferências Obrigatórias da União Relativas às Emendas Individuais (V) (§13º, art. 166 da CF);10420774;20191201
Tribunal de Contas do Estado de Goiás;52;GO;Legislativo;6921161;Valor;#NOME?;24528200543;20191201
Tribunal de Contas do Estado de Goiás;52;GO;Legislativo;6921161;Valor;DESPESA TOTAL COM PESSOAL - DTP (VII) = (III a + III b);286486467,9;20191201
Tribunal de Contas do Estado de Goiás;52;GO;Legislativo;6921161;Valor;LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF);331130707,3;20191201
Tribunal de Contas do Estado de Goiás;52;GO;Legislativo;6921161;Valor;LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF);314574172;20191201
Tribunal de Contas do Estado de Goiás;52;GO;Legislativo;6921161;Valor;LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF);298017636,6;20191201
Tribunal de Contas do Estado de Goiás;52;GO;Legislativo;6921161;% sobre a RCL Ajustada;DESPESA TOTAL COM PESSOAL - DTP (VII) = (III a + III b);1,17;20191201
Tribunal de Contas do Estado de Goiás;52;GO;Legislativo;6921161;% sobre a RCL Ajustada;LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF);1,35;20191201
Tribunal de Contas do Estado de Goiás;52;GO;Legislativo;6921161;% sobre a RCL Ajustada;LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF);1,28;20191201
Tribunal de Contas do Estado de Goiás;52;GO;Legislativo;6921161;% sobre a RCL Ajustada;LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF);1,22;20191201
Tribunal de Contas do Estado de Roraima;14;RR;Legislativo;576568;Valor;RECEITA CORRENTE LIQUIDA - RCL (IV);4189918712;20191201
Tribunal de Contas do Estado de Roraima;14;RR;Legislativo;576568;Valor;#NOME?;4189918712;20191201
Tribunal de Contas do Estado de Roraima;14;RR;Legislativo;576568;Valor;DESPESA TOTAL COM PESSOAL - DTP (VII) = (III a + III b);45180620;20191201
Tribunal de Contas do Estado de Roraima;14;RR;Legislativo;576568;Valor;LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF);48603057,06;20191201
Tribunal de Contas do Estado de Roraima;14;RR;Legislativo;576568;Valor;LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF);46172904,21;20191201
Tribunal de Contas do Estado de Roraima;14;RR;Legislativo;576568;Valor;LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF);43742751,35;20191201
Tribunal de Contas do Estado de Roraima;14;RR;Legislativo;576568;% sobre a RCL Ajustada;DESPESA TOTAL COM PESSOAL - DTP (VII) = (III a + III b);1,08;20191201
Tribunal de Contas do Estado de Roraima;14;RR;Legislativo;576568;% sobre a RCL Ajustada;LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF);1,16;20191201
Tribunal de Contas do Estado de Roraima;14;RR;Legislativo;576568;% sobre a RCL Ajustada;LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF);1,1;20191201
Tribunal de Contas do Estado de Roraima;14;RR;Legislativo;576568;% sobre a RCL Ajustada;LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF);1,04;20191201
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;Valor;RECEITA CORRENTE LIQUIDA - RCL (IV);1,60445E+11;20191201
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;Valor;(-) Transferências Obrigatórias da União Relativas às Emendas Individuais (V) (§13º, art. 166 da CF);85296916,62;20191201
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;Valor;#NOME?;1,60359E+11;20191201
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;Valor;DESPESA TOTAL COM PESSOAL - DTP (VII) = (III a + III b);2338372585;20191201
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;Valor;LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF);3207185118;20191201
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;Valor;LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF);3046825862;20191201
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;Valor;LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF);2886466607;20191201
Ministério Público do Estado de São Paulo;35;SP;Ministério Público;45538936;% sobre a RCL Ajustada;DESPESA TOTAL COM PESSOAL - DTP (VII) = (III a + III b);1,46;20191201
