Exercício: 2020;;;;;;;;
Período: 3o. quadrimestre;;;;;;;;
Escopo: Estados/DF;;;;;;;;
Anexo 02 - Demonstrativo da Dívida Consolidada Líquida;;;;;;;;
Tabela: Dívida Consolidada Líquida;;;;;;;;
Período de Homologação/Retificação: 01/01/2018 à 06/07/2021;;;;;;;;
Instituição;Cod.IBGE;UF;PODER;População;Coluna;Conta;Valor;date
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;DÍVIDA CONSOLIDADA - DC (I);23192973232;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;Dívida Contratual;20436629245;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;Empréstimos;9966574127;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;Internos;6803337121;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;Externos;3163237006;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;Reestruturação da Dívida de Estados e Municípios;9895068969;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;Financiamentos;8865957,12;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;Internos;8865957,12;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;Parcelamento e Renegociação de Dívidas;566120193,2;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;De Contribuições Previdenciárias;308989185,7;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;De Demais Contribuições Sociais;257131007,6;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;Precatórios Posteriores a 05/05/2000 (inclusive) Vencidos e Não Pagos;2251849354;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;Outras Dívidas;504494632,9;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;DEDUÇÕES (II);3046073830;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;Disponibilidade de Caixa;2752318131;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;Disponibilidade de Caixa Bruta;3218681095;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;(-) Restos a Pagar Processados;466362963,6;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;Demais Haveres Financeiros;293755698,8;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II);20146899403;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;RECEITA CORRENTE LÍQUIDA - RCL (IV);25092129460;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;#NOME?;25092129460;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;% da DC sobre a RCL AJUSTADA (I/VI);92,43;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;% da DCL sobre a RCL AJUSTADA (III/VI);80,29;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;LIMITE DEFINIDO POR RESOLUÇÃO DO SENADO FEDERAL;50184258920;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;LIMITE DE ALERTA (inciso III do § 1º do art. 59 da LRF);45165833028;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;Passivo Atuarial;1,58881E+11;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;RP Não-Processados;773432889,2;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;SALDO DO EXERCÍCIO ANTERIOR;Apropriação de Depósitos Judiciais;575381589,4;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;Até o 1º Quadrimestre;DÍVIDA CONSOLIDADA - DC (I);24452167711;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;Até o 1º Quadrimestre;Dívida Contratual;21819259233;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;Até o 1º Quadrimestre;Empréstimos;11333212825;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;Até o 1º Quadrimestre;Internos;7183832464;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;Até o 1º Quadrimestre;Externos;4149380361;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;Até o 1º Quadrimestre;Reestruturação da Dívida de Estados e Municípios;9923664448;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;Até o 1º Quadrimestre;Financiamentos;7055557,04;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;Até o 1º Quadrimestre;Internos;7055557,04;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;Até o 1º Quadrimestre;Parcelamento e Renegociação de Dívidas;555326402,6;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;Até o 1º Quadrimestre;De Contribuições Previdenciárias;303436300,3;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;Até o 1º Quadrimestre;De Demais Contribuições Sociais;251890102,4;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;Até o 1º Quadrimestre;Precatórios Posteriores a 05/05/2000 (inclusive) Vencidos e Não Pagos;2157831606;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;Até o 1º Quadrimestre;Outras Dívidas;475076871,3;20201201
Governo do Estado de Santa Catarina;42;SC;Executivo;7164788;Até o 1º Quadrimestre;DEDUÇÕES (II);4110361924;20201201
