Exercício: 2021;;;;;;;
Período: 1o. bimestre;;;;;;;
Escopo: Municípios do Estado - CE;;;;;;;
Anexo 06 - Demonstrativo do Resultado Primário e Nominal;;;;;;;
Tabela: Cálculo Acima da Linha - Despesas Primárias;;;;;;;
Período de Homologação/Retificação: 01/01/2018 à 07/07/2021;;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Valor;date
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DOTAÇÃO ATUALIZADA;DESPESAS CORRENTES (XIII);163537078,7;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DOTAÇÃO ATUALIZADA;Pessoal e Encargos Sociais;89085278,68;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DOTAÇÃO ATUALIZADA;Juros e Encargos da Dívida (XIV);50000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DOTAÇÃO ATUALIZADA;Outras Despesas Correntes;74401800;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DOTAÇÃO ATUALIZADA;DESPESAS PRIMÁRIAS CORRENTES (XV) = (XIII - XIV);163487078,7;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DOTAÇÃO ATUALIZADA;DESPESAS DE CAPITAL (XVI);15553421,32;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DOTAÇÃO ATUALIZADA;Investimentos;12397421,32;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DOTAÇÃO ATUALIZADA;Amortização da Dívida (XX);3156000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DOTAÇÃO ATUALIZADA;DESPESAS PRIMÁRIAS DE CAPITAL (XXI) = (XVI - XVII - XVIII - XIX - XX);12397421,32;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DOTAÇÃO ATUALIZADA;RESERVA DE CONTINGÊNCIA (XXII);2609500;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DOTAÇÃO ATUALIZADA;DESPESA PRIMÁRIA TOTAL (XXIII) = (XV + XXI + XXII);178494000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS EMPENHADAS;DESPESAS CORRENTES (XIII);97502929,7;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS EMPENHADAS;Pessoal e Encargos Sociais;66154285,56;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS EMPENHADAS;Outras Despesas Correntes;31348644,14;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS EMPENHADAS;DESPESAS PRIMÁRIAS CORRENTES (XV) = (XIII - XIV);97502929,7;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS EMPENHADAS;DESPESAS DE CAPITAL (XVI);6852102,04;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS EMPENHADAS;Investimentos;3709873,76;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS EMPENHADAS;Amortização da Dívida (XX);3142228,28;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS EMPENHADAS;DESPESAS PRIMÁRIAS DE CAPITAL (XXI) = (XVI - XVII - XVIII - XIX - XX);3709873,76;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS EMPENHADAS;DESPESA PRIMÁRIA TOTAL (XXIII) = (XV + XXI + XXII);101212803,5;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS LIQUIDADAS;DESPESAS CORRENTES (XIII);21455135,9;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS LIQUIDADAS;Pessoal e Encargos Sociais;12092686,84;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS LIQUIDADAS;Outras Despesas Correntes;9362449,06;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS LIQUIDADAS;DESPESAS PRIMÁRIAS CORRENTES (XV) = (XIII - XIV);21455135,9;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS LIQUIDADAS;DESPESAS DE CAPITAL (XVI);2635679,48;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS LIQUIDADAS;Investimentos;1550922,22;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS LIQUIDADAS;Amortização da Dívida (XX);1084757,26;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS LIQUIDADAS;DESPESAS PRIMÁRIAS DE CAPITAL (XXI) = (XVI - XVII - XVIII - XIX - XX);1550922,22;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS LIQUIDADAS;DESPESA PRIMÁRIA TOTAL (XXIII) = (XV + XXI + XXII);23006058,12;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS PAGAS (a);DESPESAS CORRENTES (XIII);19571238,84;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS PAGAS (a);Pessoal e Encargos Sociais;11722877,18;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS PAGAS (a);Outras Despesas Correntes;7848361,66;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS PAGAS (a);DESPESAS PRIMÁRIAS CORRENTES (XV) = (XIII - XIV);19571238,84;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS PAGAS (a);DESPESAS DE CAPITAL (XVI);1412694,39;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS PAGAS (a);Investimentos;327937,13;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS PAGAS (a);Amortização da Dívida (XX);1084757,26;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS PAGAS (a);DESPESAS PRIMÁRIAS DE CAPITAL (XXI) = (XVI - XVII - XVIII - XIX - XX);327937,13;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;DESPESAS PAGAS (a);DESPESA PRIMÁRIA TOTAL (XXIII) = (XV + XXI + XXII);19899175,97;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;RESTOS A PAGAR PROCESSADOS PAGOS (b);DESPESAS CORRENTES (XIII);4716053,99;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;RESTOS A PAGAR PROCESSADOS PAGOS (b);Pessoal e Encargos Sociais;1703043,93;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;RESTOS A PAGAR PROCESSADOS PAGOS (b);Outras Despesas Correntes;3013010,06;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;RESTOS A PAGAR PROCESSADOS PAGOS (b);DESPESAS PRIMÁRIAS CORRENTES (XV) = (XIII - XIV);4716053,99;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;RESTOS A PAGAR PROCESSADOS PAGOS (b);DESPESAS DE CAPITAL (XVI);57289;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;RESTOS A PAGAR PROCESSADOS PAGOS (b);Investimentos;57289;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;RESTOS A PAGAR PROCESSADOS PAGOS (b);DESPESAS PRIMÁRIAS DE CAPITAL (XXI) = (XVI - XVII - XVIII - XIX - XX);57289;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;RESTOS A PAGAR PROCESSADOS PAGOS (b);DESPESA PRIMÁRIA TOTAL (XXIII) = (XV + XXI + XXII);4773342,99;20210201
Prefeitura Municipal de Guaraciaba do Norte - CE;2305001;CE;40784;DOTAÇÃO ATUALIZADA;DESPESAS CORRENTES (XIII);84002423,6;20210201
Prefeitura Municipal de Guaraciaba do Norte - CE;2305001;CE;40784;DOTAÇÃO ATUALIZADA;Pessoal e Encargos Sociais;54239615,5;20210201
Prefeitura Municipal de Guaraciaba do Norte - CE;2305001;CE;40784;DOTAÇÃO ATUALIZADA;Outras Despesas Correntes;29762808,1;20210201
Prefeitura Municipal de Guaraciaba do Norte - CE;2305001;CE;40784;DOTAÇÃO ATUALIZADA;DESPESAS PRIMÁRIAS CORRENTES (XV) = (XIII - XIV);84002423,6;20210201
Prefeitura Municipal de Guaraciaba do Norte - CE;2305001;CE;40784;DOTAÇÃO ATUALIZADA;DESPESAS DE CAPITAL (XVI);15970050;20210201
Prefeitura Municipal de Guaraciaba do Norte - CE;2305001;CE;40784;DOTAÇÃO ATUALIZADA;Investimentos;14992050;20210201
Prefeitura Municipal de Guaraciaba do Norte - CE;2305001;CE;40784;DOTAÇÃO ATUALIZADA;Inversões Financeiras;28000;20210201
Prefeitura Municipal de Guaraciaba do Norte - CE;2305001;CE;40784;DOTAÇÃO ATUALIZADA;Demais Inversões Financeiras;28000;20210201
Prefeitura Municipal de Guaraciaba do Norte - CE;2305001;CE;40784;DOTAÇÃO ATUALIZADA;Amortização da Dívida (XX);950000;20210201
Prefeitura Municipal de Guaraciaba do Norte - CE;2305001;CE;40784;DOTAÇÃO ATUALIZADA;DESPESAS PRIMÁRIAS DE CAPITAL (XXI) = (XVI - XVII - XVIII - XIX - XX);15020050;20210201
Prefeitura Municipal de Guaraciaba do Norte - CE;2305001;CE;40784;DOTAÇÃO ATUALIZADA;RESERVA DE CONTINGÊNCIA (XXII);980000;20210201
Prefeitura Municipal de Guaraciaba do Norte - CE;2305001;CE;40784;DOTAÇÃO ATUALIZADA;DESPESA PRIMÁRIA TOTAL (XXIII) = (XV + XXI + XXII);100002473,6;20210201
Prefeitura Municipal de Guaraciaba do Norte - CE;2305001;CE;40784;DESPESAS EMPENHADAS;DESPESAS CORRENTES (XIII);23631049,27;20210201
