Exercício: 2021;;;;;;;
Período: 1o. bimestre;;;;;;;
Escopo: Municípios do Estado - CE;;;;;;;
Anexo 06 - Demonstrativo do Resultado Primário e Nominal;;;;;;;
Tabela: Cálculo Acima da Linha - Receitas Primárias;;;;;;;
Período de Homologação/Retificação: 01/01/2018 à 07/07/2021;;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Valor;date
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;RECEITAS CORRENTES (I);177550000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;Impostos, Taxas e Contribuições de Melhoria;9465000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;IPTU;1000000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;ISS;4120000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;ITBI;300000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;IRRF;2830000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;Outros Impostos, Taxas e Contribuições de Melhoria;1215000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;Contribuições;5000000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;Receita Patrimonial;1415000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;Outras Receitas Patrimoniais;1415000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;Transferências Correntes;158409000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;Outras Transferências Correntes;158409000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;Demais Receitas Correntes;3261000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;Outras Receitas Financeiras (III);50000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;Receitas Correntes Restantes;3211000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;RECEITAS PRIMÁRIAS CORRENTES (IV) = (I - II - III);177500000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;RECEITAS DE CAPITAL (V);4150000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;Operações de Crédito (VI);50000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;Alienação de Bens;100000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;Outras Alienações de Bens;100000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;Transferências de Capital;4000000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;Outras Transferências de Capital;4000000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;RECEITAS PRIMÁRIAS DE CAPITAL (XI) = (V - VI - VII - VIII - IX - X);4100000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;PREVISÃO ATUALIZADA;RECEITA PRIMÁRIA TOTAL  (XII) = (IV + XI);181600000;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;RECEITAS REALIZADAS (a);RECEITAS CORRENTES (I);33669832,64;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;RECEITAS REALIZADAS (a);Impostos, Taxas e Contribuições de Melhoria;1456496,41;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;RECEITAS REALIZADAS (a);IPTU;42615,76;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;RECEITAS REALIZADAS (a);ISS;858278,68;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;RECEITAS REALIZADAS (a);ITBI;82162,61;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;RECEITAS REALIZADAS (a);IRRF;351011,81;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;RECEITAS REALIZADAS (a);Outros Impostos, Taxas e Contribuições de Melhoria;122427,55;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;RECEITAS REALIZADAS (a);Contribuições;837652,9;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;RECEITAS REALIZADAS (a);Receita Patrimonial;74496,39;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;RECEITAS REALIZADAS (a);Outras Receitas Patrimoniais;74496,39;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;RECEITAS REALIZADAS (a);Transferências Correntes;31223835,89;20210201
Prefeitura Municipal de Crateús - CE;2304103;CE;75159;RECEITAS REALIZADAS (a);Outras Transferências Correntes;31223835,89;20210201
