date;instituicao;cod_ibge;uf;poder;populacao;coluna;conta;valor
2018-04-01;Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12242;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);46,15
2018-04-01;Prefeitura Municipal de Salitre - CE;2311959;CE;Executivo;16248;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);0,30
2018-04-01;Prefeitura Municipal de Crateús - CE;2304103;CE;Executivo;74350;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-5,79
2018-04-01;Prefeitura Municipal de Sobral - CE;2312908;CE;Executivo;203682;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-16,99
2018-04-01;Prefeitura Municipal de Quiterianópolis - CE;2311264;CE;Executivo;20777;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-28,65
2018-04-01;Prefeitura Municipal de Fortaleza - CE;2304400;CE;Executivo;2609716;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);7,13
2018-04-01;Prefeitura Municipal de Icó - CE;2305407;CE;Executivo;67345;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);26,74
2018-04-01;Prefeitura Municipal de Pacoti - CE;2309805;CE;Executivo;11936;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);17,30
2018-04-01;Prefeitura Municipal de Granjeiro - CE;2304806;CE;Executivo;4459;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);65,45
2018-04-01;Prefeitura Municipal de Aquiraz - CE;2301000;CE;Executivo;78438;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-15,92
2018-04-01;Prefeitura Municipal de Itapipoca - CE;2306405;CE;Executivo;126234;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);15,71
2018-04-01;Prefeitura Municipal de Novo Oriente - CE;2309409;CE;Executivo;28288;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);33,62
