date;cod_ibge;Executivo;Legislativo;total
2018-04-01;2300101;61,56;3,59;65,15
2018-08-01;2300101;60,66;3,61;64,27
2018-12-01;2300101;60,36;3,66;64,02
2019-04-01;2300101;59,93;3,45;63,38
2019-08-01;2300101;60,91;3,32;64,23
2019-12-01;2300101;61,11;3,12;64,23
2020-04-01;2300101;64,31;3,14;67,45
2020-08-01;2300101;61,40;2,92;64,32
2020-12-01;2300101;61,45;2,85;64,30
2021-04-01;2300101;59,35;2,78;62,13
2018-04-01;2300150;73,31;4,29;77,60
2018-08-01;2300150;66,83;3,80;70,63
2018-12-01;2300150;53,18;3,05;56,23
2019-04-01;2300150;53,58;2,99;56,57
2019-08-01;2300150;51,88;2,85;54,73
2019-12-01;2300150;53,89;2,73;56,62
2020-04-01;2300150;53,35;2,68;56,03
2020-08-01;2300150;62,37;2,88;65,25
2020-12-01;2300150;68,23;2,89;71,12
2021-04-01;2300150;63,30;2,73;66,03
2018-04-01;2300200;53,82;2,14;55,96
2018-08-01;2300200;55,76;1,95;57,71
2018-12-01;2300200;57,72;1,87;59,59
2019-04-01;2300200;53,55;1,91;55,46
2019-08-01;2300200;53,62;2,13;55,75
2019-12-01;2300200;55,47;2,03;57,50
2020-04-01;2300200;56,19;2,09;58,28
2020-08-01;2300200;55,45;2,08;57,53
2020-12-01;2300200;56,81;2,06;58,87
2021-04-01;2300200;53,89;2,01;55,90
2018-04-01;2300309;36,65;1,82;38,47
2018-08-01;2300309;33,17;1,75;34,92
2018-12-01;2300309;47,58;2,64;50,22
2019-04-01;2300309;50,71;2,63;53,34
2019-08-01;2300309;49,87;2,42;52,29
2019-12-01;2300309;48,15;2,30;50,45
2020-04-01;2300309;49,02;2,29;51,31
2020-08-01;2300309;49,24;2,40;51,64
2020-12-01;2300309;47,11;2,31;49,42
2021-04-01;2300309;44,15;2,22;46,37
2018-04-01;2300408;43,67;2,79;46,46
2018-08-01;2300408;39,60;2,74;42,34
2018-12-01;2300408;30,72;2,26;32,98
2019-04-01;2300408;30,40;2,33;32,73
2019-08-01;2300408;30,75;2,39;33,14
2019-12-01;2300408;41,80;2,96;44,76
2020-04-01;2300408;46,82;2,95;49,77
2020-08-01;2300408;50,20;2,84;53,04
2020-12-01;2300408;52,55;2,94;55,49
2021-04-01;2300408;53,64;2,89;56,53
2018-04-01;2300507;48,93;4,41;53,34
2018-08-01;2300507;40,07;3,76;43,83
2018-12-01;2300507;42,68;3,48;46,16
2019-04-01;2300507;44,96;3,29;48,25
2019-08-01;2300507;46,08;3,21;49,29
2019-12-01;2300507;46,72;3,34;50,06
2021-04-01;2300507;45,51;3,05;48,56
2018-04-01;2300606;40,87;2,65;43,52
2018-08-01;2300606;49,50;2,59;52,09
2018-12-01;2300606;49,14;3,65;52,79
2021-04-01;2300606;51,11;3,00;54,11
2018-04-01;2300705;49,11;3,40;52,51
2018-08-01;2300705;49,24;3,24;52,48
2018-12-01;2300705;52,89;3,33;56,22
2019-04-01;2300705;50,93;3,10;54,03
2019-08-01;2300705;48,62;2,95;51,57
2019-12-01;2300705;47,51;2,70;50,21
2020-04-01;2300705;46,94;2,80;49,74
2020-08-01;2300705;47,73;2,95;50,68
2020-12-01;2300705;46,00;3,01;49,01
2021-04-01;2300705;47,15;2,74;49,89
2018-04-01;2300754;52,23;2,15;54,38
2018-08-01;2300754;50,66;2,17;52,83
2018-12-01;2300754;53,52;2,14;55,66
2019-04-01;2300754;53,14;2,06;55,20
2019-08-01;2300754;54,58;2,04;56,62
2019-12-01;2300754;42,87;1,63;44,50
2020-04-01;2300754;45,61;1,75;47,36
2020-08-01;2300754;48,80;1,82;50,62
2020-12-01;2300754;67,01;2,38;69,39
2021-04-01;2300754;65,29;2,27;67,56
2018-04-01;2300804;53,75;2,79;56,54
2018-08-01;2300804;50,44;2,63;53,07
2018-12-01;2300804;50,50;2,50;53,00
2021-04-01;2300804;49,11;1,98;51,09
2018-04-01;2300903;49,64;2,51;52,15
2018-08-01;2300903;62,91;3,05;65,96
2018-12-01;2300903;62,35;3,29;65,64
2019-04-01;2300903;60,18;3,34;63,52
2019-08-01;2300903;59,03;3,49;62,52
2019-12-01;2300903;51,58;3,37;54,95
2020-04-01;2300903;49,34;3,35;52,69
2020-08-01;2300903;44,90;3,19;48,09
2020-12-01;2300903;44,08;3,11;47,19
2021-04-01;2300903;47,44;3,10;50,54
2018-04-01;2301000;50,39;3,69;54,08
2018-08-01;2301000;50,06;3,62;53,68
2018-12-01;2301000;51,31;3,73;55,04
2019-04-01;2301000;50,79;3,63;54,42
2019-08-01;2301000;51,85;3,63;55,48
2019-12-01;2301000;51,00;3,50;54,50
2020-04-01;2301000;55,65;3,66;59,31
2020-08-01;2301000;56,25;3,54;59,79
2020-12-01;2301000;53,73;3,35;57,08
2021-04-01;2301000;51,13;3,06;54,19
2018-04-01;2301109;45,31;2,29;47,60
2018-08-01;2301109;42,91;2,15;45,06
2018-12-01;2301109;41,16;2,70;43,86
2019-04-01;2301109;41,47;2,67;44,14
2019-08-01;2301109;41,17;2,79;43,96
2019-12-01;2301109;32,30;2,12;34,42
2020-04-01;2301109;33,64;2,17;35,81
2020-08-01;2301109;35,39;2,08;37,47
