date;cod_ibge;transferencias_de_capital;operacoes_de_credito;investimentos
2018-02-01;2300200;3,59041892247043e+05;0,000000000;2,27384889825493e+05
2018-02-01;2300754;5,17953638123785e+05;0,000000000;1,14265867036373e+06
2018-02-01;2301000;8,14666882066754e+05;0,000000000;3,60729158985545e+06
2018-02-01;2301208;2,17571564882024e+06;0,000000000;7,79389151897503e+05
2018-02-01;2301604;9,15556825229961e+05;0,000000000;4,97189382413666e+05
2018-02-01;2301851;1,10889363432063e+05;0,000000000;7,91671146473062e+05
2018-02-01;2301901;2,24401182654402e+06;0,000000000;1,15539837430539e+06
2018-02-01;2302057;3,21910976557162e+03;0,000000000;7,01329808073062e+05
2018-02-01;2302107;1,13006134034166e+05;0,000000000;1,39354158618397e+05
2018-02-01;2302206;1,82082560423916e+05;0,000000000;2,54033209223127e+05
2018-02-01;2302305;3,47649216819974e+05;0,000000000;0,00000000000000e+00
2018-02-01;2302602;3,98618389564258e+06;0,000000000;8,12750685844809e+06
2018-02-01;2302909;2,48595082470434e+03;0,000000000;7,74448183088042e+04
2018-02-01;2303402;6,62041027595269e+05;0,000000000;1,06041768530092e+05
2018-02-01;2303600;3,89245152164783e+05;0,000000000;1,99653706985493e+06
2018-02-01;2303709;1,79520946123522e+05;0,000000000;8,46716033891301e+06
2018-02-01;2303956;1,00749571592641e+06;0,000000000;2,89482959585125e+06
2018-02-01;2304004;4,71999693718791e+05;0,000000000;9,47398846707490e+05
2018-02-01;2304103;2,25263113350854e+04;0,000000000;2,34633705117924e+06
2018-02-01;2304251;7,96299679789750e+03;0,000000000;3,06635585282523e+04
2018-02-01;2304285;4,48802365308804e+04;0,000000000;2,89408146532378e+06
2018-02-01;2304400;6,11978828043285e+06;4183593,068349540;4,67476747602883e+07
2018-02-01;2304509;1,15077529566360e+05;0,000000000;7,49796067564783e+05
2018-02-01;2304707;1,49853452660184e+06;0,000000000;1,79730223817240e+06
2018-02-01;2304806;7,52653074375821e+03;0,000000000;4,23987253972668e+05
2018-02-01;2304954;8,79818658357162e+05;0,000000000;3,66007329122917e+06
2018-02-01;2305001;2,78602699080158e+05;0,000000000;5,08162473660184e+05
2018-02-01;2305100;2,30132043626807e+05;0,000000000;2,35105717470171e+05
2018-02-01;2305233;1,51455262825230e+05;299989,432163206;2,23278091560026e+06
2018-02-01;2305407;3,81412503684625e+04;0,000000000;3,25347341190802e+05
2018-02-01;2305803;9,39032641261498e+04;0,000000000;1,74896820276216e+06
2018-02-01;2306009;8,88427297634691e+05;0,000000000;1,92351437029803e+06
2018-02-01;2306504;1,34640709592641e+05;0,000000000;9,55603805519054e+03
2018-02-01;2306801;5,75387647831800e+04;0,000000000;8,86434960365309e+04
2018-02-01;2307007;3,88235220257556e+04;0,000000000;1,25263133770302e+05
2018-02-01;2307106;9,20620236530881e+04;0,000000000;5,42653430267543e+05
2018-02-01;2307304;4,26335557111932e+06;0,000000000;4,41256231107884e+06
2018-02-01;2307502;1,12649393692510e+05;0,000000000;2,83839762373193e+04
2018-02-01;2307601;2,64919980814717e+05;0,000000000;4,11091838625756e+05
2018-02-01;2307635;2,25609496714849e+05;0,000000000;3,83864874886202e+05
2018-02-01;2307650;5,97052155055716e+05;0,000000000;2,09685575205051e+07
2018-02-01;2307700;1,46292999926413e+05;0,000000000;2,37378912958213e+06
2018-02-01;2307908;1,24856081532720e+05;0,000000000;7,06674100608147e+05
2018-02-01;2308302;2,81644083109067e+04;0,000000000;0,00000000000000e+00
2018-02-01;2308401;1,93465857032326e+05;0,000000000;0,00000000000000e+00
2018-02-01;2308500;5,27464416186597e+05;0,000000000;2,96869063521104e+06
2018-02-01;2308708;2,04522690197109e+03;0,000000000;7,03762144276741e+05
2018-02-01;2308906;9,11843676122208e+05;0,000000000;6,87219404168988e+05
2018-02-01;2309102;5,27319763731932e+02;0,000000000;4,35971220762155e+05
2018-02-01;2309409;1,48631572109777e+06;0,000000000;1,62244808864415e+06
2018-02-01;2310209;3,14710679101971e+05;0,000000000;6,10353840113009e+05
2018-02-01;2310704;2,38396670137451e+05;0,000000000;8,48022115519317e+05
2018-02-01;2310852;2,35590559816189e+06;0,000000000;1,06879071484442e+06
2018-02-01;2310902;2,27464109196846e+05;0,000000000;9,32364473810775e+05
2018-02-01;2311009;1,49600788436268e+05;0,000000000;2,63680676375558e+05
2018-02-01;2311306;1,08725249934297e+05;0,000000000;1,37989403561156e+06
2018-02-01;2311355;1,90811214057030e+05;0,000000000;2,46459738355059e+05
2018-02-01;2311405;3,77395360020894e+06;0,000000000;3,76852311460421e+06
2018-02-01;2311801;2,28908769487516e+03;0,000000000;2,73629493602339e+06
2018-02-01;2312007;2,50818518434691e+05;0,000000000;9,33774277117740e+05
2018-02-01;2312700;2,01929993455979e+04;0,000000000;3,65836069592641e+05
2018-02-01;2312908;2,00401237959028e+06;0,000000000;8,18272333566912e+06
2018-02-01;2313005;1,01947183442838e+05;0,000000000;6,77869182275427e+05
2018-02-01;2313104;5,33039116951380e+05;0,000000000;1,33546828627595e+05
2018-02-01;2313302;1,95137741357451e+06;0,000000000;6,46841853319238e+06
2018-02-01;2313807;4,13571379632063e+03;0,000000000;3,68338879275427e+05
2018-02-01;2314102;8,09112527009199e+04;0,000000000;2,74457376310118e+05
2018-04-01;2300101;8,60968839638441e+05;0,000000000;1,12602363772270e+05
2018-04-01;2300150;8,83340316364494e+03;0,000000000;2,09106913319273e+05
2018-04-01;2300200;1,69476627867769e+06;0,000000000;5,00632265320426e+05
2018-04-01;2300309;1,39817140667575e+05;0,000000000;1,68754195139777e+06
2018-04-01;2300705;3,44119380632991e+05;0,000000000;8,00384612752830e+05
2018-04-01;2300754;8,97521577454412e+05;0,000000000;1,84745279126153e+06
2018-04-01;2300903;4,01422897977363e+05;0,000000000;1,18562694770200e+06
2018-04-01;2301000;1,50329157160396e+06;0,000000000;6,22630862929548e+06
2018-04-01;2301208;2,79915582523606e+06;0,000000000;1,82334459922553e+06
2018-04-01;2301307;1,14796325586879e+06;0,000000000;2,55112290218088e+06
