date;cod_ibge;rcl_bimestral
2018-02-01;2300101;4,95920382218003e+06
2018-02-01;2300150;7,28319277108647e+06
2018-02-01;2300200;2,33788964817916e+07
2018-02-01;2300309;2,24326785031538e+07
2018-02-01;2300408;7,26291499412484e+06
2018-02-01;2300507;4,75232807268936e+06
2018-02-01;2300606;4,26302155858975e+06
2018-02-01;2300705;6,68671411640710e+06
2018-02-01;2300754;1,87980445728276e+07
2018-02-01;2300804;4,13458294094534e+06
2018-02-01;2300903;6,27015539315401e+06
2018-02-01;2301000;4,42678436435288e+07
2018-02-01;2301109;3,41765406648255e+07
2018-02-01;2301208;1,20142692347280e+07
2018-02-01;2301307;3,16219684993298e+07
2018-02-01;2301406;5,73524291759106e+06
2018-02-01;2301505;4,16144163357477e+06
2018-02-01;2301604;8,40100386674297e+06
2018-02-01;2301802;3,76115320437819e+06
2018-02-01;2301851;8,39077097718213e+06
2018-02-01;2301901;3,64467055861264e+07
2018-02-01;2302008;7,93159104684231e+06
2018-02-01;2302057;6,84603793190171e+06
2018-02-01;2302107;1,35004185537180e+07
2018-02-01;2302206;1,99589783143982e+07
2018-02-01;2302305;1,02030074823083e+07
2018-02-01;2302404;1,76062682811393e+07
2018-02-01;2302503;2,39458589354357e+07
2018-02-01;2302602;2,47029394451453e+07
2018-02-01;2302701;9,98529201642786e+06
2018-02-01;2302800;3,45890238137992e+07
2018-02-01;2302909;8,19069475614218e+06
2018-02-01;2303006;8,01840238202287e+06
2018-02-01;2303105;8,46724890257976e+06
2018-02-01;2303204;1,10029824622063e+07
2018-02-01;2303402;7,71702504580657e+06
2018-02-01;2303501;2,90351685494620e+07
2018-02-01;2303600;6,69076890768463e+06
2018-02-01;2303659;5,81919939791038e+06
2018-02-01;2303709;1,20076781416035e+08
2018-02-01;2303808;9,72820554717477e+06
2018-02-01;2303907;5,54613007525414e+06
2018-02-01;2303931;5,65193965185283e+06
2018-02-01;2303956;9,06958951455322e+06
2018-02-01;2304004;8,96879910194534e+06
2018-02-01;2304103;2,71299178231721e+07
2018-02-01;2304202;4,81804705921834e+07
2018-02-01;2304236;8,12435898167332e+06
2018-02-01;2304251;1,16937005224757e+07
2018-02-01;2304269;4,56270663370276e+06
2018-02-01;2304277;3,85605269467779e+06
2018-02-01;2304285;5,28192637380825e+07
2018-02-01;2304400;1,36700984196939e+09
2018-02-01;2304459;7,96309324437503e+06
2018-02-01;2304509;7,72081283420000e+06
2018-02-01;2304608;4,43146798413219e+06
2018-02-01;2304657;7,32526183618633e+06
2018-02-01;2304707;2,01360586272281e+07
2018-02-01;2304806;3,46605392278739e+06
2018-02-01;2304954;1,03598910212497e+07
2018-02-01;2305001;1,77324716903882e+07
2018-02-01;2305100;3,84329768542471e+06
2018-02-01;2305209;7,45417871604363e+06
2018-02-01;2305233;3,26741714327214e+07
2018-02-01;2305266;5,24684380131984e+06
2018-02-01;2305332;6,21609564073693e+06
2018-02-01;2305357;1,35340737597669e+07
2018-02-01;2305407;2,36493102868833e+07
2018-02-01;2305506;4,00491862793041e+07
2018-02-01;2305605;9,13263893945598e+06
2018-02-01;2305704;5,33461512475979e+06
2018-02-01;2305803;1,69163901717582e+07
2018-02-01;2305902;1,39084541172825e+07
2018-02-01;2306009;7,29373688782602e+06
2018-02-01;2306108;1,08127059558904e+07
2018-02-01;2306207;3,93142301036110e+06
2018-02-01;2306256;1,88990912055551e+07
2018-02-01;2306306;1,86861560832683e+07
2018-02-01;2306405;4,92340323495364e+07
2018-02-01;2306504;7,88295709637451e+06
2018-02-01;2306553;1,87336523657711e+07
2018-02-01;2306702;7,35119369439264e+06
2018-02-01;2306801;5,77214398893114e+06
2018-02-01;2307007;1,21086245233903e+07
2018-02-01;2307106;1,11708081940775e+07
2018-02-01;2307205;4,93978707831012e+06
2018-02-01;2307254;1,33378127616034e+07
2018-02-01;2307304;9,45836613200870e+07
2018-02-01;2307403;1,07469716456376e+07
2018-02-01;2307502;1,11448023180042e+07
2018-02-01;2307601;2,17763080013821e+07
2018-02-01;2307635;7,60019248034455e+06
2018-02-01;2307650;1,25187774801263e+08
2018-02-01;2307700;3,57959826522113e+07
2018-02-01;2307908;5,48069314835322e+06
2018-02-01;2308104;1,66583673166470e+07
2018-02-01;2308203;7,06649469413719e+06
2018-02-01;2308302;1,05413835216407e+07
2018-02-01;2308377;5,33115574462024e+06
2018-02-01;2308401;1,88532457792604e+07
2018-02-01;2308500;1,45754388065014e+07
2018-02-01;2308609;8,46872547386938e+06
2018-02-01;2308708;2,36254267511645e+07
2018-02-01;2308807;4,26473501697398e+06
2018-02-01;2308906;8,67683788101603e+06
2018-02-01;2309102;4,91625179021130e+06
2018-02-01;2309300;1,24116316566268e+07
2018-02-01;2309409;1,14519662357327e+07
2018-02-01;2309458;1,09748319437532e+07
2018-02-01;2309607;2,42194970748129e+07
2018-02-01;2309706;2,79347877293601e+07
2018-02-01;2309805;5,75469078993272e+06
2018-02-01;2309904;3,96767940587280e+06
2018-02-01;2310001;4,21360106471511e+06
2018-02-01;2310100;4,85713791324993e+06
2018-02-01;2310209;1,64102089534013e+07
2018-02-01;2310258;1,36274692788171e+07
2018-02-01;2310407;5,22393188819869e+06
2018-02-01;2310605;7,41989419701656e+06
2018-02-01;2310704;1,41592623132628e+07
2018-02-01;2310852;9,84879928359764e+06
2018-02-01;2310902;6,72131420103574e+06
2018-02-01;2310951;5,06092474018423e+06
2018-02-01;2311009;5,72441852952825e+06
2018-02-01;2311108;7,78198657592510e+06
2018-02-01;2311231;3,90117519242392e+06
2018-02-01;2311264;9,58268138022339e+06
2018-02-01;2311306;2,97502740929677e+07
2018-02-01;2311355;6,90137793334297e+06
2018-02-01;2311405;3,04214541061432e+07
2018-02-01;2311603;1,16781920646804e+07
2018-02-01;2311702;8,04476980867858e+06
2018-02-01;2311801;2,87740455977664e+07
2018-02-01;2311900;7,18917883690013e+06
2018-02-01;2311959;8,29508971919317e+06
2018-02-01;2312007;1,18019969475038e+07
2018-02-01;2312106;7,95635858512773e+06
2018-02-01;2312205;1,57755821091784e+07
2018-02-01;2312304;1,69767128691212e+07
2018-02-01;2312502;3,73790157088200e+06
2018-02-01;2312601;5,34485333090250e+06
2018-02-01;2312700;9,46245256615453e+06
2018-02-01;2312908;1,07307956346011e+08
2018-02-01;2313005;8,33607615791038e+06
2018-02-01;2313104;1,08870038870912e+07
2018-02-01;2313252;4,29200205070933e+06
2018-02-01;2313302;2,40785797145406e+07
2018-02-01;2313351;9,27348164893482e+06
2018-02-01;2313401;3,01087922213466e+07
2018-02-01;2313500;2,27498010806901e+07
2018-02-01;2313559;6,83394410059475e+06
2018-02-01;2313609;1,47045869921932e+07
2018-02-01;2313708;3,52073366690276e+06
2018-02-01;2313757;7,84863297916951e+06
2018-02-01;2313807;9,08666398189409e+06
2018-02-01;2313906;6,94226494507464e+06
2018-02-01;2314003;1,52265504608037e+07
2018-02-01;2314102;2,12183375447898e+07
2018-04-01;2300101;4,07736105067596e+06
2018-04-01;2300150;5,73674212632519e+06
2018-04-01;2300200;1,96272752148661e+07
2018-04-01;2300309;1,65757530128356e+07
2018-04-01;2300408;6,12886079157829e+06
2018-04-01;2300507;4,47412843652720e+06
2018-04-01;2300606;3,37787134320059e+06
2018-04-01;2300705;5,68089901694037e+06
2018-04-01;2300754;1,55830863845368e+07
2018-04-01;2300804;3,75420243627437e+06
2018-04-01;2300903;5,26932297965757e+06
2018-04-01;2301000;4,95000477012482e+07
2018-04-01;2301109;3,17172130284846e+07
2018-04-01;2301208;1,08157891494865e+07
2018-04-01;2301307;9,53612514513598e+06
2018-04-01;2301406;6,83102340125707e+06
2018-04-01;2301505;3,76764537108415e+06
2018-04-01;2301604;7,20484337274838e+06
2018-04-01;2301802;3,39587606246149e+06
2018-04-01;2301851;7,09566549929470e+06
2018-04-01;2301901;3,48419275505167e+07
2018-04-01;2302008;7,53494994971861e+06
2018-04-01;2302057;5,65121000150728e+06
2018-04-01;2302107;1,23670450614635e+07
2018-04-01;2302206;1,79024455263032e+07
2018-04-01;2302305;1,01200767017308e+07
2018-04-01;2302404;1,56174143921631e+07
2018-04-01;2302503;2,17259724615049e+07
2018-04-01;2302602;2,26268736960155e+07
2018-04-01;2302701;8,40398867334286e+06
2018-04-01;2302800;2,00931605316501e+07
2018-04-01;2302909;9,53191742644178e+06
2018-04-01;2303006;7,00464647378170e+06
2018-04-01;2303105;7,46702829137340e+06
2018-04-01;2303204;9,67158503877201e+06
2018-04-01;2303402;6,45765647745415e+06
2018-04-01;2303501;2,50546501289347e+07
2018-04-01;2303600;6,45295604028820e+06
2018-04-01;2303659;1,08720464847173e+07
2018-04-01;2303709;1,06115452868340e+08
2018-04-01;2303808;8,58204226568487e+06
2018-04-01;2303907;4,65573856392947e+06
2018-04-01;2303931;4,47853564488367e+06
2018-04-01;2303956;8,01673466945006e+06
2018-04-01;2304004;7,32582223734490e+06
2018-04-01;2304103;2,59382242482388e+07
2018-04-01;2304202;4,18364796340044e+07
2018-04-01;2304236;6,70517800533562e+06
2018-04-01;2304251;1,18458248182593e+07
2018-04-01;2304269;3,88204740946631e+06
2018-04-01;2304277;3,98975194581849e+06
2018-04-01;2304285;4,60001760912369e+07
2018-04-01;2304400;1,07905860059711e+09
2018-04-01;2304459;6,79921618625734e+06
2018-04-01;2304509;6,38835297260820e+06
2018-04-01;2304608;3,51521914394938e+06
2018-04-01;2304657;6,00277820842538e+06
2018-04-01;2304707;1,75282916686119e+07
2018-04-01;2304806;3,45533828762471e+06
2018-04-01;2304954;9,04593478525414e+06
2018-04-01;2305001;1,80268859937065e+07
2018-04-01;2305100;3,54073590118319e+06
2018-04-01;2305209;6,44121011558845e+06
2018-04-01;2305233;2,86867358902321e+07
2018-04-01;2305266;4,47827856489966e+06
2018-04-01;2305332;5,11286517288540e+06
2018-04-01;2305357;1,21331355223721e+07
2018-04-01;2305407;2,35761961961829e+07
2018-04-01;2305506;3,91782541519996e+07
2018-04-01;2305605;7,88829521958840e+06
2018-04-01;2305704;4,47078094745153e+06
2018-04-01;2305803;1,38582940493778e+07
2018-04-01;2305902;1,20182849448666e+07
2018-04-01;2306009;6,07509608478280e+06
2018-04-01;2306108;1,00189250835789e+07
2018-04-01;2306207;3,29085505154737e+06
2018-04-01;2306256;1,65384474823260e+07
2018-04-01;2306306;1,55567758904145e+07
2018-04-01;2306405;4,69594070750920e+07
2018-04-01;2306504;6,49448719755817e+06
2018-04-01;2306553;1,62373997312364e+07
2018-04-01;2306702;6,47161750718822e+06
2018-04-01;2306801;4,64876405474638e+06
2018-04-01;2307007;1,00882781941123e+07
2018-04-01;2307106;9,23879785502437e+06
2018-04-01;2307205;4,12355836625105e+06
2018-04-01;2307254;1,13578214565814e+07
2018-04-01;2307304;8,52719267080243e+07
2018-04-01;2307403;9,35981647070950e+06
2018-04-01;2307502;1,63460727486565e+07
2018-04-01;2307601;2,03979898789418e+07
2018-04-01;2307635;6,73402881772742e+06
2018-04-01;2307650;1,10224080737182e+08
2018-04-01;2307700;3,14711347920766e+07
2018-04-01;2307908;4,32173756190971e+06
2018-04-01;2308104;1,53913077680581e+07
2018-04-01;2308203;6,09662512523475e+06
2018-04-01;2308302;9,12437993915112e+06
2018-04-01;2308377;4,46934689107944e+06
2018-04-01;2308401;1,36068539704614e+07
2018-04-01;2308500;1,27216219382218e+07
2018-04-01;2308609;8,45006160758960e+06
2018-04-01;2308708;2,11871205856639e+07
2018-04-01;2308807;4,14628651291789e+06
2018-04-01;2308906;7,28959348524130e+06
2018-04-01;2309102;6,04983819719241e+06
2018-04-01;2309300;1,05980210418322e+07
2018-04-01;2309409;9,25926890849403e+06
2018-04-01;2309458;9,14940681154056e+06
2018-04-01;2309607;1,89954221165877e+07
2018-04-01;2309706;2,44456283924874e+07
2018-04-01;2309805;5,73689961635244e+06
2018-04-01;2309904;3,38093962246542e+06
2018-04-01;2310001;4,19878014854066e+06
2018-04-01;2310100;4,23320031215390e+06
2018-04-01;2310209;1,35910945854176e+07
2018-04-01;2310258;1,22588268010860e+07
2018-04-01;2310407;4,30048462230900e+06
2018-04-01;2310605;4,13629057683531e+06
2018-04-01;2310704;1,65825759631063e+07
2018-04-01;2310852;8,05204751746673e+06
2018-04-01;2310902;6,31761878420981e+06
2018-04-01;2310951;4,23893384168099e+06
2018-04-01;2311009;4,61924232657855e+06
2018-04-01;2311108;6,59284049968246e+06
2018-04-01;2311231;4,28772408692308e+06
2018-04-01;2311264;9,40588885429182e+06
2018-04-01;2311306;2,95097141154480e+07
2018-04-01;2311355;7,80584164163252e+06
2018-04-01;2311405;2,69691268463807e+07
2018-04-01;2311603;1,11054212942297e+07
2018-04-01;2311702;7,16630590265720e+06
2018-04-01;2311801;2,64991555077418e+07
2018-04-01;2311900;6,09021853463477e+06
2018-04-01;2311959;7,08042399120389e+06
2018-04-01;2312007;9,40755794112634e+06
2018-04-01;2312106;6,79626654076085e+06
2018-04-01;2312205;1,32571463898224e+07
2018-04-01;2312304;1,41850405293513e+07
2018-04-01;2312502;3,17816959480691e+06
2018-04-01;2312601;5,11564934372040e+06
2018-04-01;2312700;9,78459332253511e+06
2018-04-01;2312908;9,90493883240586e+07
2018-04-01;2313005;7,53257883456770e+06
2018-04-01;2313104;1,08016639070302e+07
2018-04-01;2313252;3,91183205695557e+06
2018-04-01;2313302;8,99787759941634e+07
2018-04-01;2313351;7,30896806257939e+06
2018-04-01;2313401;3,00157080282498e+07
2018-04-01;2313500;2,03273928289310e+07
2018-04-01;2313559;6,96434834595001e+06
2018-04-01;2313609;1,19903506790036e+07
2018-04-01;2313708;3,01037280434946e+06
2018-04-01;2313757;9,76706188788042e+06
2018-04-01;2313807;7,64838443627908e+06
2018-04-01;2313906;5,87088280006734e+06
2018-04-01;2314003;1,51794761327180e+07
2018-04-01;2314102;1,76663243353023e+07
2018-06-01;2300101;4,61813246788152e+06
2018-06-01;2300150;7,04955306852999e+06
2018-06-01;2300200;2,46217772982047e+07
2018-06-01;2300309;1,84584706627219e+07
2018-06-01;2300408;8,01205063263047e+06
2018-06-01;2300507;5,78475336220279e+06
2018-06-01;2300606;5,01383070408668e+06
2018-06-01;2300705;9,52969555746022e+06
2018-06-01;2300754;1,75437609644641e+07
2018-06-01;2300804;4,40208070563026e+06
2018-06-01;2300903;6,86608622253098e+06
2018-06-01;2301000;4,32201927826568e+07
2018-06-01;2301109;4,47600756497228e+07
2018-06-01;2301208;1,37112030928879e+07
2018-06-01;2301307;1,14620500223723e+07
2018-06-01;2301406;6,82230240296194e+06
2018-06-01;2301505;5,31665337887385e+06
2018-06-01;2301604;8,85999995652379e+06
2018-06-01;2301802;3,94252959140764e+06
2018-06-01;2301851;9,04313416451164e+06
2018-06-01;2301901;4,18816545933756e+07
2018-06-01;2302008;8,39465099042865e+06
2018-06-01;2302057;7,16000633373384e+06
2018-06-01;2302107;1,45690518900981e+07
2018-06-01;2302206;2,03317894524042e+07
2018-06-01;2302305;1,15523438533277e+07
2018-06-01;2302404;1,99017151574380e+07
2018-06-01;2302503;2,43077059338566e+07
2018-06-01;2302602;2,81648265125033e+07
2018-06-01;2302701;1,08649686966925e+07
2018-06-01;2302800;2,87506263226511e+07
2018-06-01;2302909;7,89416974953617e+06
2018-06-01;2303006;8,91356972955107e+06
2018-06-01;2303105;1,08873852577998e+07
2018-06-01;2303204;1,25354715979929e+07
2018-06-01;2303402;8,63338260989660e+06
2018-06-01;2303501;2,78014011032134e+07
2018-06-01;2303600;7,42918771437966e+06
2018-06-01;2303659;5,55653054461291e+05
2018-06-01;2303709;1,14433192637553e+08
2018-06-01;2303808;9,57549418525551e+06
2018-06-01;2303907;5,51283998961956e+06
2018-06-01;2303931;6,98194104697169e+06
2018-06-01;2303956;1,03543657837221e+07
2018-06-01;2304004;9,36628659847225e+06
2018-06-01;2304103;2,93041411414295e+07
2018-06-01;2304202;5,24360560332445e+07
2018-06-01;2304236;8,59082701651955e+06
2018-06-01;2304251;1,06951093723306e+07
2018-06-01;2304269;4,53609859460692e+06
2018-06-01;2304277;3,99559024028174e+06
2018-06-01;2304285;5,54440079086816e+07
2018-06-01;2304400;1,12781822658716e+09
2018-06-01;2304459;7,72230787167624e+06
2018-06-01;2304509;7,82850084717213e+06
2018-06-01;2304608;4,52875169317259e+06
2018-06-01;2304657;7,35097619918348e+06
2018-06-01;2304707;2,03714127804392e+07
2018-06-01;2304806;4,31293878527991e+06
2018-06-01;2304954;1,03060056694630e+07
2018-06-01;2305001;1,87900443292957e+07
2018-06-01;2305100;3,98472596100943e+06
2018-06-01;2305209;7,88201603813617e+06
2018-06-01;2305233;3,37874273751791e+07
2018-06-01;2305266;5,62365868495278e+06
2018-06-01;2305332;5,96485029333723e+06
2018-06-01;2305357;1,32180575368552e+07
2018-06-01;2305407;2,36152351686730e+07
2018-06-01;2305506;4,00271046648108e+07
2018-06-01;2305605;9,74579260352785e+06
2018-06-01;2305704;5,65722913638316e+06
2018-06-01;2305803;2,33053494823723e+07
2018-06-01;2305902;1,60628839482753e+07
2018-06-01;2306009;1,06436826872266e+07
2018-06-01;2306108;1,13091401607814e+07
2018-06-01;2306207;3,88081757831034e+06
2018-06-01;2306256;1,68048067172369e+07
2018-06-01;2306306;1,91304167666448e+07
2018-06-01;2306405;4,78842522370207e+07
2018-06-01;2306504;7,98412352870839e+06
2018-06-01;2306553;2,05347130830934e+07
2018-06-01;2306702;7,85989149163145e+06
2018-06-01;2306801;6,11860327120608e+06
2018-06-01;2307007;1,28252378979556e+07
2018-06-01;2307106;1,11828885196591e+07
2018-06-01;2307205;5,10047929502544e+06
2018-06-01;2307254;1,32076448206229e+07
2018-06-01;2307304;9,56711490195388e+07
2018-06-01;2307403;1,06385969975606e+07
2018-06-01;2307502;1,27217035665759e+07
2018-06-01;2307601;2,30530335756002e+07
2018-06-01;2307635;7,46289837299128e+06
2018-06-01;2307650;1,27980664041040e+08
2018-06-01;2307700;3,56507336456257e+07
2018-06-01;2307908;5,96874245597285e+06
2018-06-01;2308104;1,87043500725004e+07
2018-06-01;2308203;7,81299370724089e+06
2018-06-01;2308302;1,13324064507548e+07
2018-06-01;2308377;5,57559750255988e+06
2018-06-01;2308401;1,54287760556843e+07
2018-06-01;2308500;1,63181936648536e+07
2018-06-01;2308609;8,67757712084281e+06
2018-06-01;2308708;2,79996849877049e+07
2018-06-01;2308807;3,77538958673646e+06
2018-06-01;2308906;8,36047521635654e+06
2018-06-01;2309102;5,05603430691206e+06
2018-06-01;2309300;1,32718324129591e+07
2018-06-01;2309409;1,21802945799967e+07
2018-06-01;2309458;1,41515753655255e+07
2018-06-01;2309607;2,51462994836207e+07
2018-06-01;2309706;2,57202523906623e+07
2018-06-01;2309805;6,46241726731454e+06
2018-06-01;2309904;4,68790184069332e+06
2018-06-01;2310001;5,38012704865583e+06
2018-06-01;2310100;5,25441736894209e+06
2018-06-01;2310209;1,66206013376686e+07
2018-06-01;2310258;1,39134046650568e+07
2018-06-01;2310407;4,94844992324849e+06
2018-06-01;2310605;4,72160924943225e+06
2018-06-01;2310704;1,46975051958421e+07
2018-06-01;2310852;1,14050708846369e+07
2018-06-01;2310902;6,85847921843849e+06
2018-06-01;2310951;4,84824179143201e+06
