exercicio;periodo;date;cod_ibge;servico_divida
2018;1;2018-02-01;2300101;3,52860364653351e+05
2018;1;2018-02-01;2300150;2,76186070959264e+05
2018;1;2018-02-01;2300200;1,28426522996058e+06
2018;1;2018-02-01;2300309;8,83795427069645e+05
2018;1;2018-02-01;2300408;1,55354664914586e+05
2018;1;2018-02-01;2300507;1,94137944328252e+05
2018;1;2018-02-01;2300606;5,17848883048620e+05
2018;1;2018-02-01;2300705;2,76186070959264e+05
2018;1;2018-02-01;2300754;6,56787634800788e+05
2018;1;2018-02-01;2300804;1,15077529566360e+04
2018;1;2018-02-01;2300903;2,07139553219448e+05
2018;1;2018-02-01;2301000;1,17954467805519e+06
2018;1;2018-02-01;2301109;1,56160207621551e+06
2018;1;2018-02-01;2301208;3,33724835742444e+05
2018;1;2018-02-01;2301307;5,49252228983443e+05
2018;1;2018-02-01;2301406;6,73202167032852e+04
2018;1;2018-02-01;2301505;2,52393227841524e+05
2018;1;2018-02-01;2301604;1,18584620849671e+05
2018;1;2018-02-01;2301802;2,18647306176084e+05
2018;1;2018-02-01;2301851;4,71817871222076e+05
2018;1;2018-02-01;2301901;8,46820959281209e+05
2018;1;2018-02-01;2302008;4,32171383751380e+05
2018;1;2018-02-01;2302057;8,08882245364783e+05
2018;1;2018-02-01;2302107;7,83618078492773e+05
2018;1;2018-02-01;2302206;1,27736057818660e+06
2018;1;2018-02-01;2302305;5,78839973718791e+05
2018;1;2018-02-01;2302404;2,27423855077004e+05
2018;1;2018-02-01;2302602;3,12202000465177e+05
2018;1;2018-02-01;2302701;5,17848883048620e+05
2018;1;2018-02-01;2302800;1,09473833867227e+06
2018;1;2018-02-01;2302909;3,45232588699080e+05
2018;1;2018-02-01;2303006;2,10764495400788e+06
2018;1;2018-02-01;2303105;4,37294612352168e+05
2018;1;2018-02-01;2303204;8,09731287377924e+05
2018;1;2018-02-01;2303402;1,66915744798423e+05
2018;1;2018-02-01;2303501;7,55530058645992e+05
2018;1;2018-02-01;2303600;4,66124237830486e+05
2018;1;2018-02-01;2303659;1,38093035479632e+05
2018;1;2018-02-01;2303709;1,72141527041235e+06
2018;1;2018-02-01;2303808;1,72616294349540e+05
2018;1;2018-02-01;2303907;2,92522983397635e+05
2018;1;2018-02-01;2303931;3,33724835742444e+05
2018;1;2018-02-01;2303956;5,17848883048620e+05
2018;1;2018-02-01;2304004;1,15077529566360e+05
2018;1;2018-02-01;2304103;2,34182772667543e+06
2018;1;2018-02-01;2304202;8,89549303547963e+05
2018;1;2018-02-01;2304236;4,37294612352168e+05
2018;1;2018-02-01;2304251;1,66405260877267e+06
2018;1;2018-02-01;2304269;1,85969557155585e+05
2018;1;2018-02-01;2304277;1,61108541392904e+05
2018;1;2018-02-01;2304285;1,20244510643890e+06
2018;1;2018-02-01;2304400;1,08508814188084e+07
2018;1;2018-02-01;2304459;2,58003821287779e+05
2018;1;2018-02-01;2304509;2,18647306176084e+05
2018;1;2018-02-01;2304608;2,30155059132720e+05
2018;1;2018-02-01;2304707;8,05577851642050e+05
2018;1;2018-02-01;2304806;4,67214770039422e+05
2018;1;2018-02-01;2304954;7,82527201051248e+05
2018;1;2018-02-01;2305001;4,02771353482260e+05
2018;1;2018-02-01;2305100;1,69163968462549e+05
2018;1;2018-02-01;2305233;1,64988406770066e+06
2018;1;2018-02-01;2305266;2,19567926412615e+05
2018;1;2018-02-01;2305332;2,57084259764520e+05
2018;1;2018-02-01;2305357;8,04587482914849e+05
2018;1;2018-02-01;2305407;7,57126920477267e+05
2018;1;2018-02-01;2305506;1,02181554942654e+06
2018;1;2018-02-01;2305605;3,22217082785808e+05
2018;1;2018-02-01;2305704;1,15077529566360e+05
2018;1;2018-02-01;2305803;1,15077529566360e+06
2018;1;2018-02-01;2305902;1,27353263924310e+05
2018;1;2018-02-01;2306009;3,39130568170565e+05
2018;1;2018-02-01;2306108;2,96687132851511e+05
2018;1;2018-02-01;2306207;1,81419034896189e+04
2018;1;2018-02-01;2306256;3,63906679731932e+04
2018;1;2018-02-01;2306306;6,77910218922470e+05
2018;1;2018-02-01;2306405;1,42120749014455e+06
2018;1;2018-02-01;2306504;3,04661545340342e+05
2018;1;2018-02-01;2306553;1,11825486913377e+06
2018;1;2018-02-01;2306702;3,79755847568988e+05
2018;1;2018-02-01;2306801;1,25318647170565e+05
2018;1;2018-02-01;2307007;1,43846911957950e+05
2018;1;2018-02-01;2307106;4,60310118265440e+05
2018;1;2018-02-01;2307254;2,76186070959264e+05
2018;1;2018-02-01;2307304;2,38079969871432e+06
2018;1;2018-02-01;2307403;4,14279106438896e+05
2018;1;2018-02-01;2307502;2,30155059132720e+05
2018;1;2018-02-01;2307601;8,63081471747700e+05
2018;1;2018-02-01;2307635;2,30155059132720e+05
2018;1;2018-02-01;2307650;4,02311043363995e+06
2018;1;2018-02-01;2307700;6,55182073108279e+05
